url,id,prediction,actual,themse,moves,probability,manual
https://lichess.org/nnSgOzEw#67,01K12,TRUE,TRUE,advantage kingsideAttack long middlegame,Ned5 Rf1+ Rxf1 Rxf1+ Kh2 Bg1+,0.74,
https://lichess.org/iKNfDQg1#31,01QSt,FALSE,FALSE,crushing long middlegame,Qxg4 Rxh2+ Rxh2 Rxh2+ Kxh2 Qxg4,0.31,
https://lichess.org/K1dL3noO#55,01R8j,FALSE,FALSE,crushing deflection endgame long,Qa5 Bd5 Rg1 Bxg2+ Rxg2 Qxa1+,0.19,
https://lichess.org/RIwXCRjL#25,01TmZ,TRUE,TRUE,doubleCheck kingsideAttack long mate mateIn3 opening sacrifice smotheredMate,Kg1 Nh3+ Kh1 Qg1+ Rxg1 Nf2#,0.650628388,
https://lichess.org/LlFzgUtg/black#40,01VXI,FALSE,FALSE,attraction crushing middlegame pin veryLong,Qg4 Qh8+ Ng8 Ba3+ Re7 Bxe7+ Kxe7 Qxg7+,0.39,
https://lichess.org/UFUflidH/black#44,01YV3,FALSE,FALSE,long mate mateIn3 middlegame,Rxf2 Qxh7+ Kf8 Bh6+ Bg7 Qxg7#,0.4225,
https://lichess.org/DKQQ170x#31,01cIh,FALSE,TRUE,doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice smotheredMate veryLong,Kh1 Nf2+ Kg1 Nh3+ Kh1 Qg1+ Rxg1 Nf2#,0.383632629,
https://lichess.org/2ku2FXte#55,01iy8,FALSE,FALSE,long mate mateIn3 middlegame,Rb3 Bf3 Rg1 Bxg2+ Rxg2 Qxg2#,0.25,
https://lichess.org/TgXP9WoA/black#40,027Il,FALSE,TRUE,crushing kingsideAttack middlegame veryLong,Nf8 Rg4+ Ng6 fxg6 fxg6 Rxg6+ hxg6 Qxg6+,0.25,
https://lichess.org/cZLQX1Bh/black#62,2.00E+42,FALSE,FALSE,crushing discoveredAttack endgame long,Ng5 Qe8+ Kh7 Nf6+ gxf6 Qxe3,0.205,
https://lichess.org/I4izEYk4/black#66,02EdZ,TRUE,TRUE,kingsideAttack long mate mateIn3 middlegame sacrifice,Bf5 Qe8+ Rxe8 Rxe8+ Kg7 h6#,0.78,
https://lichess.org/EvCDGrf4#43,02JPn,FALSE,FALSE,advantage fork middlegame veryLong,Qc3 Nxc2 Ng3 Nb4 Nxe4 Nxa2+ Kb1 Nxc3+,0.14,
https://lichess.org/n1mQcQwR#39,02Lda,FALSE,TRUE,advantage discoveredAttack kingsideAttack middlegame sacrifice veryLong,Kg1 Rxe5 Qxe5 Nf3+ gxf3 Bxf2+ Kxf2 Qxe5,0.35,
https://lichess.org/FQeb6mVH/black#36,02Qwi,FALSE,TRUE,advantage deflection kingsideAttack middlegame sacrifice veryLong,Ba6 Rxd7 Qxd7 Qe4 g6 Bxf7+ Rxf7 Qxa8+,0.22,
https://lichess.org/lzeuazSX/black#46,02Ub7,FALSE,FALSE,backRankMate deflection long mate mateIn3 middlegame,Ba6 Qf7+ Kh8 Qxf8+ Rxf8 Rxf8#,0.1015,
https://lichess.org/pDF2Sv49/black#80,02YBE,FALSE,FALSE,advancedPawn endgame exposedKing long mate mateIn3,Bc5 h7+ Kh8 Qf6+ Rg7 Qxg7#,0.32,
https://lichess.org/cafPuOxW#47,02YEp,TRUE,TRUE,kingsideAttack long mate mateIn3 middlegame sacrifice,Qxd5 Ng3+ Kh2 Rxh3+ gxh3 Qf2#,0.71,
https://lichess.org/znnCpN8H#29,02owE,TRUE,TRUE,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,Nd2 Rh1+ Kxh1 Qh6+ Kg1 Qh2+ Kf1 Qh1#,0.588333333,
https://lichess.org/rxRdr9PS/black#38,02rXQ,TRUE,TRUE,advantage kingsideAttack middlegame veryLong,Bd7 Qf6 Rf8 Bxe6+ Bxe6 Qxe6+ Qf7 Qxf7+ Rxf7 Kxh2,0.71,
https://lichess.org/rZ492NEy/black#46,03JVX,TRUE,TRUE,crushing kingsideAttack long middlegame,Qd2 Ne4 Qd8 Nf6+ Qxf6 exf6,0.81,
https://lichess.org/UHx9O7Tk#47,03M6W,TRUE,TRUE,kingsideAttack long mate mateIn3 middlegame pin sacrifice,Qf5 Qxg3+ hxg3 Rxg3+ Kf1 Rh1#,0.58,
https://lichess.org/6dNWKbFJ/black#40,03YO5,FALSE,TRUE,advantage deflection kingsideAttack long middlegame,Rxf7 Re8+ Kh7 Qxf7 Bh3 Qg8+,0.18,
https://lichess.org/5M6uMdY9/black#48,03cdR,FALSE,TRUE,discoveredAttack kingsideAttack long mate mateIn3 middlegame,Rxc1 Nde7+ Kf8 Qxd8+ Bxd8 Rxd8#,0.14,
https://lichess.org/0gEjnzS5#35,03lEu,TRUE,TRUE,crushing hangingPiece kingsideAttack long middlegame,Rxe3 Qxe3+ Kf1 Nxd3 Qxd3 Qxd3+,0.74,
https://lichess.org/1O33WAkg#35,06yFQ,FALSE,TRUE,advantage endgame kingsideAttack long,Bf4 Bd4+ Kf1 Rxe1+ Rxe1 Rxf4,0.04,
https://lichess.org/01VuSgo8/black#54,0CZ0y,FALSE,TRUE,crushing kingsideAttack middlegame veryLong,Bf8 Bxf8 Rcxf8 Rf4 g5 Qh6 Rg6 Qxf8+,0.09,
https://lichess.org/DnjTCouG/black#50,0EZzf,FALSE,TRUE,crushing exposedKing kingsideAttack long middlegame,Ne5 Qh5+ Kg7 Rxg5+ Qxg5 Qxg5+,0.05,
https://lichess.org/5CfWzwp2#63,0FMRN,FALSE,TRUE,kingsideAttack long mate mateIn3 middlegame sacrifice,Nh4 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#,0.009307457,
https://lichess.org/u47XAn7W/black#42,0FOoM,FALSE,TRUE,kingsideAttack long mate mateIn3 middlegame sacrifice,Qe5 Qxf7+ Kh8 Qf8+ Rxf8 Rxf8#,0.066511796,
https://lichess.org/vpl34H51#45,0M94i,FALSE,TRUE,advantage clearance deflection kingsideAttack middlegame pin sacrifice veryLong,f3 Rxe3 Qxe3 Nxd5 Nxd5 Bd4 f4 Bxe3+,0.05,
https://lichess.org/LDlOsBiY#37,0QXpS,FALSE,TRUE,crushing kingsideAttack middlegame quietMove sacrifice veryLong,Nxg6+ Rxg6 dxe5 Rag8 g3 hxg3 fxg3 Rxg3+ hxg3 Rxg3+,0.03,
https://lichess.org/aFUJZRot#63,0XwZ1,FALSE,TRUE,crushing deflection endgame kingsideAttack long,Ra2 Rc1+ Kg2 f3+ Kh3 Rxh1+,0.01,1
https://lichess.org/bJapqHoO/black#34,0YGPX,FALSE,TRUE,kingsideAttack long mate mateIn3 middlegame,cxd6 Qxf7+ Kh8 Qf8+ Qxf8 Rxf8#,0.02,
https://lichess.org/wl36NOs4#55,0Z7yZ,FALSE,TRUE,attraction exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,Rg1 Qxg1+ Kxg1 Rd1+ Qe1 Rxe1#,0.01,1
https://lichess.org/FHaHTLNN/black#66,0Ze8U,FALSE,TRUE,crushing endgame kingsideAttack long,d2 Re8+ Qf8 Rxf8+ Kxf8 Kxd2,0.06,
https://lichess.org/XZ7pMTF3#41,0ZzIr,FALSE,TRUE,advantage attraction doubleCheck kingsideAttack middlegame sacrifice veryLong,fxg3 Rxg3+ Kf2 Rg2+ Kxg2 Ne3+ Kg1 Qg7+ Kf2 Nxd1+ Rcxd1 Qg2+ Ke1 Qe4+,0.07,
https://lichess.org/VIJADHfe/black#34,0hziJ,TRUE,FALSE,attraction clearance crushing enPassant middlegame sacrifice veryLong,c5 Bxh7+ Kxh7 Rh3+ Kg8 Qh5 f5 exf6 Bxg2+ Kg1 Bxh3 Bxc7,1,
https://lichess.org/YFE9Xnnz#59,0oa6R,FALSE,TRUE,clearance kingsideAttack long mate mateIn3 middlegame sacrifice,Rg1 Qxg2+ Rxg2 Re1+ Rg1 Rxg1#,0.079083333,
https://lichess.org/LxmkWhAm#49,0olx5,TRUE,FALSE,anastasiaMate attraction discoveredAttack endgame long mate mateIn3 sacrifice,Qxc6 Ne2+ Kh1 Qxh2+ Kxh2 Rh5#,0.95,1
https://lichess.org/fAVIPAFW/black#54,0qZZf,FALSE,TRUE,crushing kingsideAttack long middlegame,Rfd8 Rg7+ Kf8 Qe5 Qe7 Rxe7,0.05,
https://lichess.org/tHlhn3G2#65,0tOzv,FALSE,TRUE,advantage deflection kingsideAttack long middlegame,h3 Qe1+ Kh2 Qxf2+ Kh1 Qe1+,0.03,1
https://lichess.org/56rtI7lB#47,0ug8k,FALSE,TRUE,advantage discoveredAttack kingsideAttack long middlegame sacrifice,Qd1 Nh3+ gxh3 Ne3+ Kh1 Nxd1,0.09,
https://lichess.org/UpAZqdRO/black#54,11nrp,FALSE,TRUE,kingsideAttack long mate mateIn3 middlegame,Nxe5 Rxc8+ Rxc8 Rd8+ Rxd8 Qxd8#,0.03,
https://lichess.org/W6S9U4GJ#35,133XF,FALSE,TRUE,crushing discoveredAttack kingsideAttack middlegame veryLong,Qxe4 Rxf1+ Bxf1 Bxg5 Bc4+ Kh8 Bxg5 Qxg5+,0.08,
https://lichess.org/eQvfq7MN/black#54,154S3,FALSE,TRUE,crushing kingsideAttack middlegame veryLong,Rae8 Rxf6 Rg8 Qxe8 Qxg2+ Kxg2 gxf6+ Qxg8+,0.02,
https://lichess.org/NSolYdL9/black#52,1SYHn,TRUE,FALSE,deflection fork long mate mateIn3 middlegame,Re8 Qh7+ Kf8 Qh8+ Ke7 Qxg7#,1,1
https://lichess.org/qzrYOgyH#25,2AvvO,TRUE,FALSE,advantage long opening,Nxe5 Nxg3 Nxc6 Nxe2+ Qxe2 bxc6,0.914530653,
https://lichess.org/DO5oyMtP/black#50,5HTRS,TRUE,FALSE,long mate mateIn3 middlegame,Kxh8 Qh2+ Bh4 Qxh4+ Kg8 Qh7#,0.94,
https://lichess.org/1pEV8b6k/black#38,62mrb,TRUE,FALSE,fork long mate mateIn3 middlegame,Nf6 Bxh7+ Nxh7 Qxf7+ Kh8 Ng6#,0.908657676,
https://lichess.org/4vvpmGio#49,6YeGI,TRUE,FALSE,attraction long mate mateIn3 middlegame sacrifice,Bf1 Rh1+ Kxh1 Qh4+ Kg1 Qh2#,0.924,
https://lichess.org/MFIpa2U2#45,7lIYs,TRUE,FALSE,anastasiaMate attraction mate mateIn4 middlegame sacrifice veryLong,Nxe6 Ne2+ Kh1 Qxh2+ Kxh2 Rh8+ Qh7 Rxh7#,0.95,
https://lichess.org/n1OJnHy7/black#46,7q8Dg,TRUE,FALSE,anastasiaMate attraction long mate mateIn3 middlegame sacrifice,Qxb2 Ne7+ Kh8 Rxh7+ Kxh7 Qh5#,0.914,
https://lichess.org/fqhH1zsS#49,7qCxm,TRUE,FALSE,endgame long mate mateIn3 sacrifice,Kh1 Ng3+ hxg3 Qh6+ Qh5 Qxh5#,0.900525179,
https://lichess.org/74URYLj2/black#48,847Ku,TRUE,FALSE,deflection mate mateIn4 middlegame veryLong,Nxf4 Qxh7+ Kf8 Qh8+ Ke7 Qxg7+ Ke8 Qf7#,0.91,
https://lichess.org/zzn8vFib#45,8EE8k,TRUE,FALSE,attraction long mate mateIn3 middlegame sacrifice,Qf3 Rh1+ Kxh1 Qh8+ Kg1 Qh2#,0.99,1
https://lichess.org/EVaVczzW/black#78,AIHuW,TRUE,FALSE,attraction equality long middlegame sacrifice,Qa7 Bxg7 Kxg7 Qg5+ Kh8 Qf6+,0.97,
https://lichess.org/qbeaVU2Z/black#46,BQERD,TRUE,FALSE,attraction endgame mate mateIn4 sacrifice veryLong,Be7 Qxh7+ Kxh7 Rh3+ Bh4 Rxh4+ Kg8 Rh8#,0.91,
https://lichess.org/3eT0FZu0/black#42,BVFP8,TRUE,FALSE,doubleCheck long mate mateIn3 middlegame sacrifice smotheredMate,Nxf4 Nh6+ Kh8 Qg8+ Rxg8 Nf7#,1,
https://lichess.org/TxAaFaUZ/black#60,CEBp9,TRUE,FALSE,attraction long mate mateIn3 middlegame sacrifice,Qd2 Qxh7+ Kxh7 Rh3+ Kg8 Rh8#,0.910547619,
https://lichess.org/1NCaTp35/black#30,Ebo6k,TRUE,FALSE,advantage attraction fork middlegame sacrifice veryLong,Be7 Bxh7+ Kxh7 Qh4+ Kg8 Bxe7 Qxe7 Ng5 Qxg5 Qxg5,0.935,
https://lichess.org/gfe62OGG/black#60,Fjk5w,TRUE,FALSE,deflection endgame mate mateIn5 veryLong,Kxh8 Qh5+ Kg8 Qh7+ Kf8 Qh8+ Ke7 Qxg7+ Ke8 Qf7#,0.933766906,
https://lichess.org/GJgT2gKw/black#36,FzYXx,TRUE,FALSE,crushing fork middlegame veryLong,Rfe8 Qh5 g6 Bxg6 hxg6 Qxg6+ Bg7 Be5 Re7 Bxg7 Rxg7 Qxe6+,0.95,
https://lichess.org/oU1pKIaY#49,GUnpc,TRUE,FALSE,fork long mate mateIn3 middlegame sacrifice,Nxd5 Ng3+ hxg3 Rh6+ Qh5 Rxh5#,0.99,
