url,id,prediction,actual,themse,moves,probability,h
https://lichess.org/pDF2Sv49/black#80,02YBE,TRUE,TRUE,advancedPawn endgame exposedKing long mate mateIn3,Bc5 h7+ Kh8 Qf6+ Rg7 Qxg7#,0.89,
https://lichess.org/n5JaYhRz#69,02bax,TRUE,TRUE,advancedPawn crushing endgame hangingPiece long,Rc7+ Kxc7 a7 c4+ Kxd4 g2,0.7,
https://lichess.org/ZTd1Nl2D#59,02c2M,FALSE,TRUE,advancedPawn attraction crushing endgame quietMove veryLong,Rc7 Nxh2 Rf2 Rxf2 Kxf2 Ng4+ Kg1 h2+ Kh1 Rd8 Nd5 cxd5,0.01,
https://lichess.org/0bfpkeuY/black#100,02iak,TRUE,TRUE,advancedPawn crushing endgame exposedKing master masterVsMaster sacrifice veryLong,Kc7 Ra6 Rxf1 b6+ Kd7 Rxa1 Rxa1 b7,0.77,
https://lichess.org/ItIbtHc9/black#86,02kZu,FALSE,FALSE,bishopEndgame crushing endgame exposedKing long quietMove,Bh4 g5 a4 e6+ Ke8 d6,0.2,
https://lichess.org/KAOoU39e/black#92,033Z2,FALSE,FALSE,bishopEndgame crushing endgame long,Bb4 Kd7 h4 e6 h3 Bxa5,0.14,
https://lichess.org/zgQYns0V/black#30,034My,FALSE,FALSE,advantage defensiveMove long middlegame,Bxc3 bxc3 Rb8 Kd2 Rb2+ Ke1,0.13,
https://lichess.org/0RQbhXGt#71,039P4,FALSE,FALSE,crushing endgame long queenEndgame,Qh6 c3 e4+ Ke6 f5+ gxf5,0.11,
https://lichess.org/rLEebE7j#59,039sR,TRUE,TRUE,advancedPawn crushing discoveredAttack endgame long master sacrifice,Nf5 Bxf2+ Kxf2 Qxd3 cxd3 c2,0.85,
https://lichess.org/SjOx5l6S#119,03Gtc,TRUE,TRUE,advancedPawn advantage bishopEndgame endgame promotion veryLong,h5 Kxd3 e5 Kc2 e6 d3 e7 d2 e8=Q d1=Q,0.52,
https://lichess.org/yqtWDmny/black#84,03JyE,TRUE,TRUE,advancedPawn attraction crushing endgame exposedKing long quietMove,c2 Nf7 Qxf7 exf7+ Kxf7 Qc7+,0.88,
https://lichess.org/WLTGwAxJ#91,03WsY,TRUE,TRUE,advancedPawn crushing defensiveMove endgame pawnEndgame quietMove veryLong,b3+ Kb4 Kc2 Ka3 Kb1 d4 Ka1 d3 Kb1 d2 Kc2 Kxa2,0.74,
https://lichess.org/FBESL7lt#119,03gc3,FALSE,FALSE,crushing discoveredAttack endgame fork master veryLong,c8=Q Qg3+ Kf5 Nd6+ Ke5 f3+ Kd5 Nxc8 Qxc8 Qf4,0.11,
https://lichess.org/MhBS5pNW#57,03niU,FALSE,FALSE,clearance crushing long middlegame,Bxe4 dxe4+ Kg3 Rg1+ Kh2 Qa1,0.12,
https://lichess.org/ASbl9n4u#63,03owL,TRUE,TRUE,advancedPawn crushing exposedKing long middlegame promotion sacrifice,Qh2 Qa7 Bxe5 Qa1+ Kc2 b1=Q+,0.89,
https://lichess.org/ZCoAGeKE/black#108,03say,TRUE,TRUE,advancedPawn crushing defensiveMove endgame long,h4 b7 Rf8 Ne7+ Kg7 Nc8,0.73,
https://lichess.org/HQ4M51kz#49,03tdm,FALSE,TRUE,advancedPawn equality long middlegame,Qb2 d2 Rd1 g4 Qc3 gxf3,0.47,
https://lichess.org/6VJTmQz4/black#46,03tkj,FALSE,FALSE,advantage deflection middlegame pin veryLong,Ra7 Bg5 Qf8 Bxf6 Qxf6 e5 dxe5 Qxc5,0.18,
https://lichess.org/HBtCWru1/black#62,03v12,TRUE,TRUE,advancedPawn advantage enPassant kingsideAttack long middlegame pin sacrifice,f5 exf6 Qxe4 fxg7+ Kxg7 Rxe4,0.78,
https://lichess.org/2eX4oe37/black#76,03z2J,FALSE,FALSE,advantage attraction deflection endgame veryLong,Bf6 Bxf6 Kxf6 g5+ Ke7 Qxe5 Qa2 Qc7+,0.13,
https://lichess.org/BKUOHPkn/black#98,041yM,TRUE,TRUE,advancedPawn advantage endgame long,h5 b6 Kh7 b7 Nd6 Rxd8,0.76,
https://lichess.org/C1WyoFY1#49,04JuW,TRUE,TRUE,advancedPawn advantage deflection exposedKing fork middlegame veryLong,Qc2 a2+ Qxa2 Qxd3+ Qc2 Qxf3 R7g3 Qf4,0.67,
https://lichess.org/yOQoEwpV#57,04Ow1,FALSE,FALSE,advantage defensiveMove exposedKing kingsideAttack long middlegame,Bd2 Bg3 Bxf4 Bxh2+ Bxh2 f4,0.2,
https://lichess.org/SnhWd9Yk#89,04QpK,FALSE,FALSE,crushing defensiveMove endgame quietMove veryLong,Bxe3 Rxe3+ Rxe3+ fxe3 Kxe3 b5 Kf3 Kf5,0.2,
https://lichess.org/VnCtjn2P#25,04lsW,FALSE,FALSE,advantage interference opening veryLong,Nd5 Nxd5 exd5 f6 Bh6 g5 Qd2 Bxh6,0.21,
https://lichess.org/7RguljCX/black#88,04xnh,FALSE,TRUE,advancedPawn crushing endgame pawnEndgame promotion veryLong,Kxf4 Kxd5 Kg3 Kc6 Kxh4 Kb7 Kxg5 Kxa7 h5 a5 h4 axb6 h3 b7 h2 b8=Q,0.09,
https://lichess.org/dLnIZHS6#89,0LXr2,FALSE,TRUE,advancedPawn crushing endgame promotion quietMove rookEndgame veryLong,Rxd7 Rxb6+ Ke7 Rb7 Rxb7 Kxb7 Kxf7 d4 Kxg6 d3 f5 d2 f6 d1=Q,0.09,
https://lichess.org/Sg9Pwl4m/black#112,0TwO0,FALSE,TRUE,advancedPawn crushing endgame veryLong,g1=Q Bxg1 Kxg1 Kf6 Kf2 Ke7 Bg4 d7,0.01,
https://lichess.org/XQBedaLk/black#104,0flOr,FALSE,TRUE,advancedPawn crushing defensiveMove endgame promotion quietMove veryLong,Be5+ Kc4 Bc7 Kc5 f5 Nc6 f4 a7 f3 a8=Q,0.06,
https://lichess.org/ei32eue1/black#100,0i1bb,FALSE,TRUE,advancedPawn clearance crushing discoveredAttack endgame exposedKing fork promotion veryLong,Rh8 Rf6+ Qxf6 gxf6+ Kxf6 Qg8 Rxg8+ fxg8=Q,0.06,
https://lichess.org/yCSQDZ6C/black#106,0idb2,FALSE,TRUE,advancedPawn advantage defensiveMove discoveredAttack endgame exposedKing rookEndgame veryLong,Re4+ Kd3 Rge2 Rb8+ Kg7 Rb7+ Kh6 e7+,0.08,
https://lichess.org/i7hXMnPy/black#94,0lc6X,FALSE,TRUE,advancedPawn bishopEndgame crushing endgame promotion veryLong,Kg3 Kc5 f4 b6 Bxb6+ Kxb6 f3 d7 f2 d8=Q,0.09,
https://lichess.org/0X0A3j7Z/black#28,0tDVr,FALSE,TRUE,advancedPawn attackingF2F7 crushing defensiveMove middlegame quietMove veryLong,Qxh1 Ba3 Qxh2+ Be2 c5 fxe6 b6 exf7+,0.07,
https://lichess.org/ytL8SCN5#103,0xCrA,FALSE,TRUE,advancedPawn crushing deflection endgame promotion rookEndgame veryLong,Rb7 Re6 h7 Rh6+ Kg2 Rxh7 Rxh7 b1=Q,0.02,
https://lichess.org/g3ciESAV#61,11Cyk,FALSE,TRUE,advancedPawn crushing endgame veryLong,Qxe4 Qf1+ Kh2 Qf4+ Qxf4+ exf4 Bg5 d2,0,
https://lichess.org/8LFvLymm/black#76,1KTQK,FALSE,TRUE,advancedPawn bishopEndgame crushing endgame promotion veryLong,Bb5 Bxb5 axb5 Ke3 f4+ Kd2 Ke5 a6 Kd4 a7 e3+ Kc1 f3 a8=Q,0.01,
https://lichess.org/NbZGPoBU#127,1O74P,FALSE,TRUE,advancedPawn crushing defensiveMove endgame promotion rookEndgame veryLong,Rb6+ Ka3 Ra6+ Ra4 Rxa4+ Kxa4 Kc2 a1=Q,0.04,
https://lichess.org/0kPBoTZY/black#136,1S5SV,FALSE,TRUE,advancedPawn advantage defensiveMove endgame promotion veryLong,Qh8 Qb7 Qh2+ Kd3 Qg1 Qb4+ Kf7 a8=Q Qd1+ Qd2,0.04,
https://lichess.org/qbQ3hml1/black#80,1Terp,FALSE,TRUE,advancedPawn crushing endgame pawnEndgame promotion veryLong,Kh6 Kf5 Kg7 Ke6 f5 exf5 e4 Ke7 Kh7 f6 e3 f7 e2 f8=Q,0.01,
https://lichess.org/VGAq97eA#77,1ZxD4,FALSE,TRUE,advancedPawn attraction crushing endgame promotion veryLong,Nc4 Rb1 Qe5+ Qxe5 Nxe5 Rxf1+ Kxf1 c1=Q+,0.02,
https://lichess.org/yDWp7Q3C/black#54,1nqk8,FALSE,TRUE,advancedPawn advantage kingsideAttack middlegame sacrifice veryLong,b6 Qg5 Qc7 h5 Qxc4 hxg6 Qc5+ Qxc5 bxc5 gxf7+,0.05,
https://lichess.org/2czVnSuh/black#116,1rWsa,FALSE,TRUE,advancedPawn crushing endgame exposedKing veryLong,fxg4+ Rxg4+ Kf6 Bd4+ Ke6 Rg7 Qf4 h7,0.04,
https://lichess.org/K74rGF7u#43,1sk2T,FALSE,TRUE,advancedPawn crushing endgame promotion sacrifice veryLong,Bh7+ Kxh7 Rxd8 Rxd8 Qxe7 Rd1+ Kg2 c2 Qxc7 c1=Q Qxc1 Rxc1,0.04,
https://lichess.org/NAuhndFD/black#64,1vjHj,FALSE,TRUE,advancedPawn crushing endgame promotion quietMove veryLong,Rf5 Qe3 Kg7 Qa7 Rf2 Qxf2 Qxf2 b8=Q,0.02,
