url,id,prediction,actual,themse,moves,probability,,
https://lichess.org/uKVQaQZV/black#34,0ZohU,FALSE,TRUE,crushing fork long middlegame,Qh5 Bg5 Qg4 Bxf6 Qxb4+ Rxb4,0.06,,
https://lichess.org/6W5wqT5S#87,0aOOu,FALSE,TRUE,advantage fork middlegame quietMove veryLong,Ra1 Rxg2 Ra7+ Kc8 Kf1 Rhh2 Rf7 Rxf2+ Qxf2 Rxf2+,0.04,,
https://lichess.org/KeEG1KLG#51,0bnNR,TRUE,FALSE,advantage attraction endgame long pin sacrifice,Qe3 Re5 Qxe5 Nf3+ Kh1 Nxe5,0.95,1,
https://lichess.org/dmJZ4MeV#57,0cOWx,FALSE,TRUE,crushing defensiveMove fork hangingPiece long middlegame,f3 Nxe3 Qc8+ Kb6 Kf2 Ne6,0.07,,
https://lichess.org/8VQFZalR/black#98,0nTrN,TRUE,FALSE,crushing exposedKing long middlegame,Bg5 Rh7+ Kf6 Ne4+ Kg6 Nxg5,0.94,1,
https://lichess.org/Cn0Hn6hv#41,0qxUE,TRUE,FALSE,crushing long middlegame,Rfb1 Nf4 Nf3 Ne2+ Kf1 Nxc3,0.92,1,
https://lichess.org/fdViVkDi#59,17v7B,TRUE,FALSE,advantage endgame long,Rxc7 Qd1+ Kh2 Qd6+ e5 Qxc7,0.96,1,
https://lichess.org/MvFaKeo3#57,1EspX,TRUE,FALSE,deflection exposedKing kingsideAttack long mate mateIn3 middlegame,hxg3 Qxg3+ Kh1 Qh3+ Rh2 Qxf1#,1,,
https://lichess.org/53vggCRw/black#18,1FUUI,TRUE,FALSE,attackingF2F7 attraction crushing long opening sacrifice,Nxe4 Bxf7+ Kxf7 Qd5+ Kg6 Bxd8,0.94,,
https://lichess.org/54CPCEgB#109,1LdN2,TRUE,FALSE,advantage attraction endgame long,Qf2 Qxf2+ Kxf2 Nd3+ Kg1 Nxb2,0.98,,
https://lichess.org/GLVSxjsy/black#62,1STID,TRUE,FALSE,advantage long middlegame pin sacrifice,Rh8 Qxg6+ fxg6 Nh5+ Kf7 Nxf4,0.91,,
https://lichess.org/esHuFqgF#63,1YNcv,TRUE,FALSE,crushing discoveredAttack endgame veryLong,Ke3 Qd4+ Kxd2 Nxb2+ Kc1 Nxd1 Nxc5+ bxc5,0.91,,
https://lichess.org/mJkxSoSS/black#50,28PM3,TRUE,FALSE,advantage attraction endgame long pin sacrifice,Rg8 Ra6+ Kxa6 Nc5+ Kb6 Nxd3,0.93,,
https://lichess.org/JbNuJPLb#41,39Ufv,TRUE,FALSE,crushing long middlegame pin queensideAttack,Qe5 Ra1+ Kd2 Nc4+ Ke2 Nxe5,0.96,,
https://lichess.org/o2FfHnCW#71,3isWt,TRUE,FALSE,crushing endgame long,Rxd5 Rc1+ Kh2 Ng4+ Kg3 Nxe5,0.99,,
https://lichess.org/OC6deluB/black#62,3up5G,TRUE,FALSE,attraction crushing exposedKing kingsideAttack long middlegame pin,Rf6 Qxe8+ Qxe8 Nxf6+ Kf7 Nxe8,0.97,,
https://lichess.org/uF8cke26#29,4FTjr,TRUE,FALSE,advantage deflection intermezzo kingsideAttack long opening sacrifice,Rd1 Qxd5 Qxd5 Nxe2+ Kh1 Nxd5,0.98,,
https://lichess.org/OlCo729A/black#40,5qpaq,TRUE,FALSE,attraction crushing kingsideAttack long middlegame pin sacrifice,Ne7 Rxe7 Qxe7 Ng6+ Kg7 Nxe7,0.99,,
https://lichess.org/UozBgSKJ/black#74,6c4Wr,TRUE,FALSE,attraction crushing endgame long,Re5 Rxe5 Kxe5 Nc4+ Kd4 Nxb6,0.99,,
https://lichess.org/eOg2e4i7#59,7fmYB,TRUE,FALSE,backRankMate endgame long mate mateIn3 sacrifice,Bd2 Qf2+ Kh1 Qf1+ Rxf1 Rxf1#,1,,
https://lichess.org/5oaoKsgG#41,7zhK6,TRUE,FALSE,endgame long mate mateIn3,Rxf2 Qd1+ Re1 Qxe1+ Rf1 Qxf1#,0.956,,
https://lichess.org/sv5eeIy0/black#66,8bARl,TRUE,FALSE,crushing deflection endgame long,Rxf2 Rh8+ Ke7 Nc6+ Kd6 Nxd8,0.93,,
https://lichess.org/oVJdDx08/black#44,8fSA4,TRUE,FALSE,crushing exposedKing long middlegame pin sacrifice,Bd7 Rxf5 gxf5 Nxf5+ Ke6 Nxd6,0.92,,
